"","date","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"248",2019-12-23,411.779999,422.01001,410,419.220001,13319600,419.220001
"249",2019-12-24,418.359985,425.470001,412.690002,425.25,8054700,425.25
"250",2019-12-26,427.910004,433.480011,426.350006,430.940002,10633900,430.940002
"251",2019-12-27,435,435.309998,426.109985,430.380005,9945700,430.380005
"252",2019-12-30,428.790009,429,409.26001,414.700012,12586400,414.700012
"253",2019-12-31,405,421.290009,402.079987,418.329987,10285700,418.329987
"254",2020-01-02,424.5,430.700012,421.709991,430.26001,9532100,430.26001
"255",2020-01-03,440.5,454,436.920013,443.01001,17778500,443.01001
"256",2020-01-06,440.470001,451.559998,440,451.540009,10133000,451.540009
"257",2020-01-07,461.399994,471.630005,453.359985,469.059998,17882100,469.059998
"258",2020-01-08,473.700012,498.48999,468.230011,492.140015,31144300,492.140015
"259",2020-01-09,497.100006,498.799988,472.869995,481.339996,28440400,481.339996
"260",2020-01-10,481.790009,484.940002,473.700012,478.149994,12959500,478.149994
"261",2020-01-13,493.5,525.630005,492,524.859985,26517600,524.859985
"262",2020-01-14,544.26001,547.409973,524.900024,537.919983,28996200,537.919983
"263",2020-01-15,529.76001,537.840027,516.789978,518.5,17368800,518.5
"264",2020-01-16,493.75,514.460022,492.170013,513.48999,21736700,513.48999
"265",2020-01-17,507.609985,515.669983,503.160004,510.5,13629100,510.5
"266",2020-01-21,530.25,548.580017,528.409973,547.200012,17803500,547.200012
"267",2020-01-22,571.890015,594.5,559.099976,569.559998,31369000,569.559998
"268",2020-01-23,564.25,582,555.599976,572.200012,19651000,572.200012
"269",2020-01-24,570.630005,573.859985,554.26001,564.820007,14353600,564.820007
"270",2020-01-27,541.98999,564.440002,539.280029,558.02002,13608100,558.02002
"271",2020-01-28,568.48999,576.809998,558.080017,566.900024,11788500,566.900024
"272",2020-01-29,575.690002,589.799988,567.429993,580.98999,17801500,580.98999
"273",2020-01-30,632.419983,650.880005,618,640.809998,29005700,640.809998
"274",2020-01-31,640,653,632.52002,650.570007,15719300,650.570007
"275",2020-02-03,673.690002,786.140015,673.52002,780,47233500,780
"276",2020-02-04,882.960022,968.98999,833.880005,887.059998,60938800,887.059998
"277",2020-02-05,823.26001,845.97998,704.109985,734.700012,48423800,734.700012
"278",2020-02-06,699.919983,795.830017,687,748.960022,39880800,748.960022
"279",2020-02-07,730.549988,769.75,730,748.070007,17063500,748.070007
"280",2020-02-10,800,819.98999,752.400024,771.280029,24689200,771.280029
"281",2020-02-11,768.789978,783.51001,758,774.380005,11697500,774.380005
"282",2020-02-12,777.869995,789.75,763.369995,767.289978,12022500,767.289978
"283",2020-02-13,741.840027,818,735,804,26289300,804
"284",2020-02-14,787.219971,812.969971,785.5,800.030029,15693700,800.030029
"285",2020-02-18,841.599976,860,832.359985,858.400024,16381700,858.400024
"286",2020-02-19,923.5,944.780029,901.02002,917.419983,25423000,917.419983
"287",2020-02-20,911.950012,912,859.940002,899.409973,17634900,899.409973
"288",2020-02-21,906.97998,913.059998,880.450012,901,14314800,901
"289",2020-02-24,839,863.5,822.200012,833.789978,15192200,833.789978
"290",2020-02-25,849,856.599976,787,799.909973,17290500,799.909973
"291",2020-02-26,782.5,813.309998,776.109985,778.799988,14085500,778.799988
"292",2020-02-27,730,739.77002,669,679,24277200,679
"293",2020-02-28,629.700012,690.52002,611.52002,667.98999,24564200,667.98999
"294",2020-03-02,711.26001,743.690002,686.669983,743.619995,20195000,743.619995
"295",2020-03-03,805,806.97998,716.109985,745.51001,25784000,745.51001
"296",2020-03-04,763.960022,766.52002,724.72998,749.5,15049000,749.5
"297",2020-03-05,723.77002,745.75,718.070007,724.539978,10852700,724.539978
"298",2020-03-06,690,707,684.27002,703.47998,12662900,703.47998
"299",2020-03-09,605.390015,663,605,608,17073700,608
"300",2020-03-10,659.429993,668,608,645.330017,15594400,645.330017
"301",2020-03-11,640.200012,653.580017,613,634.22998,13322500,634.22998
"302",2020-03-12,580.890015,594.5,546.25,560.549988,18909100,560.549988
"303",2020-03-13,595,607.570007,502,546.619995,22585600,546.619995
